id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1242239703333474304,1242239703333474304,2020-03-23 23:59:59+00:00,2020-03-23,23:59:59,0,857197412175142912,wg2acvwitrnlykg,さとみん,,仕事で変えたい常識をツイートしてamazonギフトコードを当てよう。 今日はキャンペーン1日目！ @RAIZIN_taisho で #エナジードリンクの常識が変わる #仕事で変えたい常識 は『　』 #RAIZIN ツイートをすると通知が来ます。,ja,"[{'screen_name': 'raizin_taisho', 'name': 'raizin', 'id': '1062210121470636032'}]",[],[],0,0,0,"['エナジードリンクの常識が変わる', '仕事で変えたい常識', 'raizin']",[],https://twitter.com/wg2aCvWItrnlyKg/status/1242239703333474304,False,,0,,,,,,,,[],,,,
1242239683779756035,1242239683779756032,2020-03-23 23:59:54+00:00,2020-03-23,23:59:54,0,1123245943296380933,takahasi_akiko,高橋晶子,,仕事で変えたい常識をツイートしてamazonギフトコードを当てよう。 今日はキャンペーン1日目！ @RAIZIN_taisho で #エナジードリンクの常識が変わる #仕事で変えたい常識 は『　』 #RAIZIN ツイートをすると通知が来ます。,ja,"[{'screen_name': 'raizin_taisho', 'name': 'raizin', 'id': '1062210121470636032'}]",[],[],0,0,0,"['エナジードリンクの常識が変わる', '仕事で変えたい常識', 'raizin']",[],https://twitter.com/takahasi_akiko/status/1242239683779756035,False,,0,,,,,,,,[],,,,
1242239681993064455,1242239681993064448,2020-03-23 23:59:54+00:00,2020-03-23,23:59:54,0,196356239,reyes_emilio,Emilio Reyes,,Cristiano ofrece sus casas para hospital. Los grandes deportistas estan mandado videos de aliento e invitando a quedarse en casa. Y @CH14_  con problemas con su cuenta de amazon. 🙈🙈 Pensabamos que eras chingón!! O como era?,es,"[{'screen_name': 'ch14_', 'name': 'chicharito hernandez', 'id': '618420295'}]",[],[],0,0,0,[],[],https://twitter.com/reyes_emilio/status/1242239681993064455,False,https://twitter.com/CH14_/status/1242178314665472000,0,,,,,,,,[],,,,
1242239681695084544,1242239681695084544,2020-03-23 23:59:54+00:00,2020-03-23,23:59:54,0,4002950188,honey76832532,はにー(じょーじ),,"クレジットカードでのお買い物で #でっかいテレビ がゼロ円になったらうれしい❗ #ゼロ祭 ! 開催記念 第2弾✨①@mufgcr_official をフォロー②選択ボタンからツイート！抽選で2020名様にAmazonギフト券1,000円分プレゼント #三菱UFJニコス　  https://t.co/SCCwdzbQ5c",ja,"[{'screen_name': 'mufgcr_official', 'name': '三菱ufjニコス', 'id': '1218107383676751872'}]",['https://www.cr.mufg.jp/landing/open_cp/index.html?cid=2020clcp_tw_ret'],[],0,0,0,"['でっかいテレビ', 'ゼロ祭', '三菱ufjニコス']",[],https://twitter.com/honey76832532/status/1242239681695084544,False,,0,,,,,,,,[],,,,
1242239679006568448,1242239679006568448,2020-03-23 23:59:53+00:00,2020-03-23,23:59:53,0,77894620,webdirector,Ken PdM,,"クレジットカードでのお買い物で #おいしいお米1年分 がゼロ円になったらうれしい❗ #ゼロ祭 ! 開催記念 第2弾✨①@mufgcr_official をフォロー②選択ボタンからツイート！抽選で2020名様にAmazonギフト券1,000円分プレゼント #三菱UFJニコス　  https://t.co/zwysRDfr8d",ja,"[{'screen_name': 'mufgcr_official', 'name': '三菱ufjニコス', 'id': '1218107383676751872'}]",['https://www.cr.mufg.jp/landing/open_cp/index.html?cid=2020clcp_tw_ret'],[],0,0,0,"['おいしいお米1年分', 'ゼロ祭', '三菱ufjニコス']",[],https://twitter.com/webdirector/status/1242239679006568448,False,,0,,,,,,,,[],,,,
1242239675902889984,1242239675902889984,2020-03-23 23:59:53+00:00,2020-03-23,23:59:53,0,963177799136808960,leosunlibravnus,𝕮𝖍𝖆𝖗,,does this lockdown mean amazon deliveries are not gonna be delivered or,en,[],[],[],3,0,1,[],[],https://twitter.com/leosunlibravnus/status/1242239675902889984,False,,0,,,,,,,,[],,,,
1242239674002944001,1242239674002944000,2020-03-23 23:59:52+00:00,2020-03-23,23:59:52,0,144059845,designsage,ModSquad wants to bring beauty into being,,@eBay @Amazon,qam,"[{'screen_name': 'amazon', 'name': 'amazon', 'id': '20793816'}]",[],[],0,0,0,[],[],https://twitter.com/Designsage/status/1242239674002944001,False,https://twitter.com/LarryWe30576970/status/1242224629038501893,0,,,,,,,,[],,,,
1242239670295166982,1242239670295166976,2020-03-23 23:59:51+00:00,2020-03-23,23:59:51,0,68019998,d0llydi0r,•🌸💗🤞🏾🤍,,Now all I need is some cases and a screen protection amazon here I come 🤣🤦🏾‍♀️,en,[],[],[],0,0,0,[],[],https://twitter.com/D0LLyDi0R/status/1242239670295166982,False,,0,,,,,,,,[],,,,
1242239665983242240,1241891548268072960,2020-03-23 23:59:50+00:00,2020-03-23,23:59:50,0,726020424169975813,yyy_snow,るう,,@8LTP3mg1f255nxb @318s_s @yurilowell1129 うむ。てか、今見たらソフトはAmazonあるし、Amazonのが安いよ(ﾉ)･ω･(ヾ),ja,[],[],[],1,0,1,[],[],https://twitter.com/yyy_snow/status/1242239665983242240,False,,0,,,,,,,,"[{'screen_name': '8LTP3mg1f255nxb', 'name': 'おじーちゃん', 'id': '944131197885587456'}, {'screen_name': '318s_s', 'name': 'える改めちょろ子', 'id': '3178472953'}, {'screen_name': 'yurilowell1129', 'name': 'ありじごく男', 'id': '2964781399'}]",,,,
1242239665886781441,1242239665886781440,2020-03-23 23:59:50+00:00,2020-03-23,23:59:50,0,1127836819331043333,hdxctcxrgrpt9dy,バニィ,,仕事で変えたい常識をツイートしてamazonギフトコードを当てよう。 今日はキャンペーン1日目！ @RAIZIN_taisho で #エナジードリンクの常識が変わる #仕事で変えたい常識 は『　』 #RAIZIN ツイートをすると通知が来ます。,ja,"[{'screen_name': 'raizin_taisho', 'name': 'raizin', 'id': '1062210121470636032'}]",[],[],0,0,0,"['エナジードリンクの常識が変わる', '仕事で変えたい常識', 'raizin']",[],https://twitter.com/HDxCtcxRGrPt9dY/status/1242239665886781441,False,,0,,,,,,,,[],,,,
1242239665010135041,1242239665010135040,2020-03-23 23:59:50+00:00,2020-03-23,23:59:50,0,964113610480828418,pokoniaitai,プチ3y&1y,,遊びで変えたい常識をツイートしてamazonギフトコードを当てよう。 今日はキャンペーン1日目！ @RAIZIN_taisho で #エナジードリンクの常識が変わる #遊びで変えたい常識 は『　』 #RAIZIN ツイートをすると通知が来ます。,ja,"[{'screen_name': 'raizin_taisho', 'name': 'raizin', 'id': '1062210121470636032'}]",[],[],0,0,0,"['エナジードリンクの常識が変わる', '遊びで変えたい常識', 'raizin']",[],https://twitter.com/POKOniaitai/status/1242239665010135041,False,,0,,,,,,,,[],,,,
1242239659377405953,1242057927923511296,2020-03-23 23:59:49+00:00,2020-03-23,23:59:49,0,817691829156118528,sallypabin,Sally Pabin,,@AcornTV @RoseyTyler Purchased AcornTV thru Amazon in US however the movie isn’t showing up? What am I doing wrong? Can’t wait to watch!,en,[],[],[],0,0,0,[],[],https://twitter.com/SallyPabin/status/1242239659377405953,False,,0,,,,,,,,"[{'screen_name': 'AcornTV', 'name': 'Acorn TV', 'id': '2280885721'}, {'screen_name': 'RoseyTyler', 'name': 'Rosey Tyler', 'id': '20757650'}]",,,,
1242239657917677568,1242132058681434112,2020-03-23 23:59:48+00:00,2020-03-23,23:59:48,0,1043073024092766208,adosally1,"STOP SAYING POC, IT’s A CUSS WORD",,@Amazon_Queenn @comcast 😢,und,[],[],[],0,0,1,[],[],https://twitter.com/ADOSALLY1/status/1242239657917677568,False,,0,,,,,,,,"[{'screen_name': 'Amazon_Queenn', 'name': 'Queen..I Am Not Your Negro (🇺🇲 🦂🔮)', 'id': '4923680225'}, {'screen_name': 'comcast', 'name': 'Comcast', 'id': '89587925'}]",,,,
1242239655556395008,1242238743060365312,2020-03-23 23:59:48+00:00,2020-03-23,23:59:48,0,2473110143,_fxckinglaura,Ginger.,,@ramirxs_ Está es en Amazon Prime 😝,es,[],[],[],1,0,1,[],[],https://twitter.com/_fxckinglaura/status/1242239655556395008,False,,0,,,,,,,,"[{'screen_name': 'ramirxs_', 'name': 'Raúl', 'id': '356363329'}]",,,,
1242239650871328769,1242230176030822400,2020-03-23 23:59:47+00:00,2020-03-23,23:59:47,0,2697943953,mr_jawaeyaert,Jacob Waeyaert,,"@BretMeasor Haha me any time I see any other delivery driver these days on my routes. Whether it be FedEx, UPS, Amazon, etc.",en,[],[],[],0,0,0,[],[],https://twitter.com/Mr_JAWaeyaert/status/1242239650871328769,False,,0,,,,,,,,"[{'screen_name': 'BretMeasor', 'name': 'Bret Measor', 'id': '1459269528555331588'}]",,,,
1242239646450569216,1242239646450569216,2020-03-23 23:59:46+00:00,2020-03-23,23:59:46,0,213790256,sierra_leonee,Si💋,,Amazon Playing A Good Game w/ These Delivery Dates,en,[],[],[],0,0,0,[],[],https://twitter.com/Sierra_Leonee/status/1242239646450569216,False,,0,,,,,,,,[],,,,
1242239645376630784,1242239645376630784,2020-03-23 23:59:45+00:00,2020-03-23,23:59:45,0,3048477960,takatan_sai,☆ミコト★,,"クレジットカードでのお買い物で #リッチなディナー がゼロ円になったらうれしい❗ #ゼロ祭 ! 開催記念 第2弾✨①@mufgcr_official をフォロー②選択ボタンからツイート！抽選で2020名様にAmazonギフト券1,000円分プレゼント #三菱UFJニコス　 https://t.co/4ZeKwUZD40",ja,"[{'screen_name': 'mufgcr_official', 'name': '三菱ufjニコス', 'id': '1218107383676751872'}]",['https://www.cr.mufg.jp/landing/open_cp/index.html?cid=2020clcp_tw_ret'],[],0,0,0,"['リッチなディナー', 'ゼロ祭', '三菱ufjニコス']",[],https://twitter.com/takatan_sai/status/1242239645376630784,False,,0,,,,,,,,[],,,,
1242239644793700352,1242212394446868480,2020-03-23 23:59:45+00:00,2020-03-23,23:59:45,0,212322542,flyingdutchy04,Reinier ⚒️,,@quianuncvalee @TotallyRaquel Ben blij dat ik er nog net een te pakken had voor 250 Euro van de Amazon Deal. 😅,nl,[],[],[],1,0,0,[],[],https://twitter.com/flyingdutchy04/status/1242239644793700352,False,,0,,,,,,,,"[{'screen_name': 'quianuncvalee', 'name': 'Taylor', 'id': '88408258'}, {'screen_name': 'TotallyRaquel', 'name': 'Raquel', 'id': '50693996'}]",,,,
1242239644441251840,1242239644441251840,2020-03-23 23:59:45+00:00,2020-03-23,23:59:45,0,2906044986,kiyo7935,kiyo7935,,仕事で変えたい常識をツイートしてamazonギフトコードを当てよう。 今日はキャンペーン1日目！ @RAIZIN_taisho で #エナジードリンクの常識が変わる #仕事で変えたい常識 は『　』 #RAIZIN ツイートをすると通知が来ます。,ja,"[{'screen_name': 'raizin_taisho', 'name': 'raizin', 'id': '1062210121470636032'}]",[],[],0,0,0,"['エナジードリンクの常識が変わる', '仕事で変えたい常識', 'raizin']",[],https://twitter.com/kiyo7935/status/1242239644441251840,False,,0,,,,,,,,[],,,,
1242239641673056256,1242239641673056256,2020-03-23 23:59:44+00:00,2020-03-23,23:59:44,0,4165678932,shima_shima2000,しまりす,,"クレジットカードでのお買い物で #でっかいテレビ がゼロ円になったらうれしい❗ #ゼロ祭 ! 開催記念 第2弾✨①@mufgcr_official をフォロー②選択ボタンからツイート！抽選で2020名様にAmazonギフト券1,000円分プレゼント #三菱UFJニコス　  https://t.co/GNSj2UTpZX",ja,"[{'screen_name': 'mufgcr_official', 'name': '三菱ufjニコス', 'id': '1218107383676751872'}]",['https://www.cr.mufg.jp/landing/open_cp/index.html?cid=2020clcp_tw_ret'],[],0,0,0,"['でっかいテレビ', 'ゼロ祭', '三菱ufjニコス']",[],https://twitter.com/shima_shima2000/status/1242239641673056256,False,,0,,,,,,,,[],,,,
1344795464818970625,1344795464818970624,2020-12-31 23:59:58+00:00,2020-12-31,23:59:58,0,755996885148631040,educchien,Education Canine,,Achetez votre produit sur Amazon &gt;  https://t.co/LIP1y8BdRz  https://t.co/zlpilk1way,fr,[],['https://boutique-animalerie.com/produit/nobby-friandise-pour-chien-seau-training-bones-500-g/?wpwautoposter=1609459195'],['https://pbs.twimg.com/media/EqmsWToW4AA7WEL.jpg'],0,0,0,[],[],https://twitter.com/EducChien/status/1344795464818970625,False,,1,https://pbs.twimg.com/media/EqmsWToW4AA7WEL.jpg,,,,,,,[],,,,
1344795457806082054,1344795457806082048,2020-12-31 23:59:56+00:00,2020-12-31,23:59:56,0,101056684,greatbeernow,Great Beer Now,,"Just saw this on Amazon: The Swedish Christmas Table: Traditional Holiday Meals, Side Dishes, Candies, and Drinks by Westman, Johanna for $19.99  https://t.co/sghc2HME8S via @amazon",en,"[{'screen_name': 'amazon', 'name': 'amazon', 'id': '20793816'}]",['https://amzn.to/3pJj4Tz'],[],0,0,0,[],[],https://twitter.com/GreatBeerNow/status/1344795457806082054,False,,0,,,,,,,,[],,,,
1344795454609870848,1344795454609870848,2020-12-31 23:59:56+00:00,2020-12-31,23:59:56,0,2978339509,joiiyne,faye,,Someone at amazon books REALLY hates peppa pig  https://t.co/qtPZmjsqNU,en,[],[],['https://pbs.twimg.com/media/EqmsVp7VoAABAiX.jpg'],1,0,3,[],[],https://twitter.com/joiiyne/status/1344795454609870848,False,,1,https://pbs.twimg.com/media/EqmsVp7VoAABAiX.jpg,,,,,,,[],,,,
1344795453125115904,1344795453125115904,2020-12-31 23:59:55+00:00,2020-12-31,23:59:55,0,991510608179675136,homurahomuho,ほむほむ,,イイオ&amp;レナ結婚おめでとうキャンペーンに #ボートレース場 で解答✨ @Lets_BOATRACE Amazonギフト券やオリジナルグッズが当たる #ボートレースCM 1月7日、公開‼️キャンペーン詳細はコチラ⇒ https://t.co/TVUJXqtpKr #BRキャンペーン,ja,"[{'screen_name': 'lets_boatrace', 'name': '公式 dynamite boatrace｜ボートレース', 'id': '2939077682'}]",['https://lets-know-boatrace.jp/spinoff2021/?sgm_id=tw_all_2021cm_teaser-iiorena&utm_source=twitter&utm_medium=video&utm_campaign=tw_all_2021cm_teaser-iiorena'],[],0,0,0,"['ボートレース場', 'ボートレースcm', 'brキャンペーン']",[],https://twitter.com/homurahomuho/status/1344795453125115904,False,,0,,,,,,,,[],,,,
1344795448062697472,1344794846272376832,2020-12-31 23:59:54+00:00,2020-12-31,23:59:54,0,1032424208398053377,k_r_i_s_s_y__,Laur💗,,"@BeyondBasic21 This can be purchased in supermarkets in Jamaica or even online on Amazon. There are other types such as those mixed with rose water , another good one 🥰🥰.  https://t.co/PVEgSYKJAg",en,[],[],['https://pbs.twimg.com/media/EqmsVAJXUAAmZov.jpg'],2,0,1,[],[],https://twitter.com/k_r_i_s_s_y__/status/1344795448062697472,False,,1,https://pbs.twimg.com/media/EqmsVAJXUAAmZov.jpg,,,,,,,"[{'screen_name': 'BeyondBasic21', 'name': 'Joy ✨💖', 'id': '30530847'}]",,,,
1344795446602940417,1344795446602940416,2020-12-31 23:59:54+00:00,2020-12-31,23:59:54,0,1335110795621851137,dustinajacobs,2021 World Series Champion Dustin Jacobs,,"Hey #Eddiots I see you. Keep up thw great work, and also, maybe tell @WhitneyCummings what you think of the @eddiepence (Un)Special now playing on @amazon @PrimeVideo. We’d love to see these two DC natives chat.",en,"[{'screen_name': 'whitneycummings', 'name': 'whitney cummings', 'id': '28061932'}, {'screen_name': 'eddiepence', 'name': 'eddiepence', 'id': '16945752'}, {'screen_name': 'amazon', 'name': 'amazon', 'id': '20793816'}, {'screen_name': 'primevideo', 'name': 'prime video', 'id': '17220817'}]",[],[],0,3,4,['eddiots'],[],https://twitter.com/dustinajacobs/status/1344795446602940417,False,,0,,,,,,,,[],,,,
1344795446242390016,1344795446242390016,2020-12-31 23:59:54+00:00,2020-12-31,23:59:54,0,755996885148631040,educchien,Education Canine,,Achetez votre produit sur Amazon &gt;  https://t.co/CCRPBTzDZn  https://t.co/bcIyrw32HZ,fr,[],['https://boutique-animalerie.com/produit/pro-plan-medium-adult-sensitive-skin-avec-optiderma-riche-en-saumon-14-kg-croquettes-pour-chiens-adultes-de-taille-moyenne/?wpwautoposter=1609459190'],['https://pbs.twimg.com/media/EqmsVN9XcAEEUpl.jpg'],0,0,0,[],[],https://twitter.com/EducChien/status/1344795446242390016,False,,1,https://pbs.twimg.com/media/EqmsVN9XcAEEUpl.jpg,,,,,,,[],,,,
1344795428798267393,1344795428798267392,2020-12-31 23:59:49+00:00,2020-12-31,23:59:49,0,755996885148631040,educchien,Education Canine,,Achetez votre produit sur Amazon &gt;  https://t.co/dCl4sUvooY  https://t.co/kmAp2UkB1c,fr,[],['https://boutique-animalerie.com/produit/rabbitgoo-harnais-chien-anti-traction-arnet-pour-chien-facile-a-mettre-harnais-reflechissant-reglable-avec-attache-devant-easy-walk-arnais-pour-chien-moyen-large-couleur-noir/?wpwautoposter=1609459186'],['https://pbs.twimg.com/media/EqmsUNYXYAATEi0.jpg'],0,0,0,[],[],https://twitter.com/EducChien/status/1344795428798267393,False,,1,https://pbs.twimg.com/media/EqmsUNYXYAATEi0.jpg,,,,,,,[],,,,
1344795419826556928,1344709211322605568,2020-12-31 23:59:47+00:00,2020-12-31,23:59:47,0,1491985946,ygbicyclebeet55,ららっこ,,@POINTJP_TSUTOMU amazonギフト券が欲しいです。,ja,[],[],[],0,0,0,[],[],https://twitter.com/ygbicyclebeet55/status/1344795419826556928,False,,0,,,,,,,,"[{'screen_name': 'POINTJP_TSUTOMU', 'name': 'POINTJP', 'id': '794870563835478016'}]",,,,
1344795417142296583,1344795417142296576,2020-12-31 23:59:47+00:00,2020-12-31,23:59:47,0,407747089,gmsarria,Gerardo M. Sarria M.,,Amazon eyes launching its computer science education program in India – TechCrunch  https://t.co/9rlaeuJbKn,en,[],['https://techcrunch.com/2020/12/30/amazon-computer-science-education-program-future-engineer-in-india/'],[],0,0,0,[],[],https://twitter.com/gmsarria/status/1344795417142296583,False,,0,,,,,,,,[],,,,
1344795415313432577,1344450471239454720,2020-12-31 23:59:46+00:00,2020-12-31,23:59:46,0,1265810288,623azsteelerfan,MrWashington,,"@TimothyDeLaG I got that Amazon proactiv subscription for my kids, works well ...",en,[],[],[],0,0,0,[],[],https://twitter.com/623AZsteelerfan/status/1344795415313432577,False,,0,,,,,,,,"[{'screen_name': 'TimothyDeLaG', 'name': 'Tim Chantarangsu', 'id': '16589495'}]",,,,
1344795413002547207,1344795413002547200,2020-12-31 23:59:46+00:00,2020-12-31,23:59:46,0,755996885148631040,educchien,Education Canine,,Achetez votre produit sur Amazon &gt;  https://t.co/xWn65tnwVo  https://t.co/cfRdJQMqwr,fr,[],['https://boutique-animalerie.com/produit/pro-plan-small-mini-adult-sensitive-skin-avec-optiderma-riche-en-saumon-7-kg-croquettes-pour-petits-chiens/?wpwautoposter=1609459183'],['https://pbs.twimg.com/media/EqmsTReXIAAygj9.jpg'],0,0,0,[],[],https://twitter.com/EducChien/status/1344795413002547207,False,,1,https://pbs.twimg.com/media/EqmsTReXIAAygj9.jpg,,,,,,,[],,,,
1344795405318578178,1344794924663902208,2020-12-31 23:59:44+00:00,2020-12-31,23:59:44,0,1296810365079162880,cmapkal,Cmap,,@NetflixLAT The Boys. De Amazon 🤭,en,[],[],[],0,0,0,[],[],https://twitter.com/Cmapkal/status/1344795405318578178,False,,0,,,,,,,,"[{'screen_name': 'NetflixLAT', 'name': 'Netflix Latinoamérica', 'id': '231577324'}]",,,,
