"Card code","Scheme","Card type","Country","Gateway 1 (Transactions Count)","Gateway 2  (Transactions Count)","Gateway 3  (Transactions Count)",""
"639002","MAESTRO","Type A","RUSSIAN FEDERATION","871","523","157",""
"676280","MAESTRO","Type A","RUSSIAN FEDERATION","435","261","79",""
"676196","MAESTRO","Type A","RUSSIAN FEDERATION","286","172","52",""
"502123","MAESTRO","Type A","UNITED STATES","20","12","4",""
"676938","MAESTRO","Type A","PORTUGAL","19","12","4",""
"606045","MAESTRO","Type A","KOREA REPUBLIC OF","14","9","3",""
"676246","MAESTRO","Type A","UKRAINE","13","8","3",""
"670590","MAESTRO","Type A","BULGARIA","6","4","2",""
"676889","MAESTRO","Type A","BULGARIA","6","4","2",""
"675922","MAESTRO","Type A","UNITED KINGDOM","5","3","1",""
"676221","MAESTRO","Type A","LATVIA","5","3","1",""
"546938","MASTERCARD","Type A","RUSSIAN FEDERATION","6673","20000","500",""
"521324","MASTERCARD","Type A","RUSSIAN FEDERATION","5901","5000","0",""
"520339","MASTERCARD","Type A","RUSSIAN FEDERATION","3308","3000","30",""
"548674","MASTERCARD","Type A","RUSSIAN FEDERATION","2871","1723","20",""
"548401","MASTERCARD","Type A","RUSSIAN FEDERATION","2401","1441","433",""
"520306","MASTERCARD","Type A","RUSSIAN FEDERATION","1821","1093","328",""
"552175","MASTERCARD","Type A","RUSSIAN FEDERATION","1654","993","298",""
"510070","MASTERCARD","Type A","RUSSIAN FEDERATION","1575","945","284",""
"527890","MASTERCARD","Type A","GREECE","1290","774","233",""
"527594","MASTERCARD","Type A","RUSSIAN FEDERATION","1190","714","215",""
"531310","MASTERCARD","Type A","RUSSIAN FEDERATION","1173","704","212",""
"532610","MASTERCARD","Type A","ISRAEL","1154","693","208",""
"539726","MASTERCARD","Type A","RUSSIAN FEDERATION","1119","672","202",""
"554393","MASTERCARD","Type A","RUSSIAN FEDERATION","966","580","174",""
"510092","MASTERCARD","Type A","RUSSIAN FEDERATION","927","557","167",""
"518996","MASTERCARD","Type A","RUSSIAN FEDERATION","877","527","158",""
"546952","MASTERCARD","Type A","RUSSIAN FEDERATION","799","480","144",""
"548438","MASTERCARD","Type A","RUSSIAN FEDERATION","752","452","136",""
"522223","MASTERCARD","Type A","RUSSIAN FEDERATION","745","447","135",""
"524886","MASTERCARD","Type A","NETHERLANDS","745","447","135",""
"521178","MASTERCARD","Type A","RUSSIAN FEDERATION","723","434","131",""
"532186","MASTERCARD","Type A","RUSSIAN FEDERATION","699","420","126",""
"555947","MASTERCARD","Type A","RUSSIAN FEDERATION","675","405","122",""
"525477","MASTERCARD","Type A","RUSSIAN FEDERATION","630","378","114",""
"541715","MASTERCARD","Type A","RUSSIAN FEDERATION","630","378","114",""
"512762","MASTERCARD","Type A","RUSSIAN FEDERATION","609","366","110",""
"516737","MASTERCARD","Type A","ESTONIA","604","363","109",""
"533157","MASTERCARD","Type A","RUSSIAN FEDERATION","522","314","94",""
"531239","MASTERCARD","Type A","GREECE","520","312","94",""
"520953","MASTERCARD","Type A","NETHERLANDS","517","311","94",""
"531070","MASTERCARD","Type A","KOREA REPUBLIC OF","512","308","93",""
"540049","MASTERCARD","Type A","ROMANIA","507","305","92",""
"540788","MASTERCARD","Type A","RUSSIAN FEDERATION","501","301","91",""
"533594","MASTERCARD","Type A","RUSSIAN FEDERATION","494","297","89",""
"554506","MASTERCARD","Type A","PORTUGAL","487","293","88",""
"510099","MASTERCARD","Type A","GREECE","475","285","86",""
"532192","MASTERCARD","Type A","GREECE","468","281","85",""
"517722","MASTERCARD","Type A","UNITED ARAB EMIRATES","435","261","79",""
"520012","MASTERCARD","Type A","ROMANIA","435","261","79",""
"510737","MASTERCARD","Type A","KOREA REPUBLIC OF","428","257","78",""
"521729","MASTERCARD","Type A","AUSTRALIA","423","254","77",""
"555957","MASTERCARD","Type A","RUSSIAN FEDERATION","423","254","77",""
"531146","MASTERCARD","Type A","GREECE","376","226","68",""
