Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.23,-.08,-.15,-.09,-.20,-.17,-.09,-.13,-.22,-.20,-.17,-.16,***,***,-.11,-.15,-.18
1881,-.18,-.13,.04,.06,.07,-.18,.01,-.03,-.14,-.21,-.17,-.06,-.08,-.08,-.16,.06,-.06,-.18
1882,.17,.14,.05,-.15,-.13,-.21,-.16,-.06,-.14,-.22,-.16,-.35,-.10,-.08,.08,-.07,-.14,-.17
1883,-.28,-.36,-.12,-.18,-.17,-.06,-.07,-.13,-.21,-.11,-.23,-.11,-.17,-.19,-.33,-.16,-.09,-.19
1884,-.12,-.08,-.36,-.39,-.33,-.34,-.32,-.27,-.26,-.24,-.33,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.44,-.43,-.33,-.30,-.28,-.23,-.23,-.10,-.33,-.34,-.40,-.37,-.35,-.25
1886,-.43,-.50,-.42,-.28,-.24,-.34,-.17,-.30,-.24,-.27,-.27,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.57,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.26,-.32,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.34,-.36,-.41,-.20,-.21,-.17,-.10,-.15,-.11,.02,.03,-.04,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.09,.17,.07,.10,.00,-.10,-.07,-.20,-.23,-.25,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.39,-.24,-.27,-.38,-.36,-.24,-.43,-.31,-.35,-.34,-.38,-.36,-.30,-.34
1891,-.33,-.47,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.29,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.15,-.32,-.27,-.24
1893,-.81,-.57,-.22,-.27,-.33,-.25,-.14,-.24,-.22,-.19,-.19,-.34,-.31,-.32,-.58,-.27,-.21,-.20
1894,-.53,-.31,-.23,-.45,-.32,-.41,-.25,-.25,-.29,-.24,-.27,-.22,-.31,-.32,-.39,-.34,-.30,-.26
1895,-.42,-.43,-.34,-.22,-.28,-.21,-.18,-.18,-.12,-.10,-.16,-.13,-.23,-.24,-.36,-.28,-.19,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.10,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.11,-.16,-.24,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.20,-.10,-.09,-.11,-.05,-.07,-.12
