Date,Volume,sign
2020-01-02,80580000,1
2020-01-03,75288000,1
2020-01-06,81236000,1
2020-01-07,80898000,1
2020-01-08,70160000,0
2020-01-09,63346000,0
2020-01-10,57074000,0
2020-01-13,55616000,0
2020-01-14,68818000,0
2020-01-15,57932000,0
2020-01-16,53190000,0
2020-01-17,79946000,0
2020-01-21,74156000,1
2020-01-22,64326000,0
2020-01-23,49692000,0
2020-01-24,75324000,0
2020-01-27,70570000,1
2020-01-28,56160000,1
2020-01-29,41760000,0
2020-01-30,126548000,1
2020-01-31,311346000,0
2020-02-03,117834000,0
2020-02-04,105786000,1
2020-02-05,87524000,0
2020-02-06,63660000,1
2020-02-07,101906000,1
2020-02-10,101124000,1
2020-02-11,114920000,0
2020-02-12,66686000,0
2020-02-13,60636000,1
2020-02-14,52124000,0
2020-02-18,58912000,1
2020-02-19,51224000,1
2020-02-20,62626000,0
2020-02-21,92926000,0
2020-02-24,130940000,1
2020-02-25,124382000,0
2020-02-26,104492000,1
2020-02-27,162880000,0
2020-02-28,189620000,1
2020-03-02,135234000,1
2020-03-03,150690000,0
2020-03-04,95458000,1
2020-03-05,94964000,0
2020-03-06,105472000,1
2020-03-09,156264000,1
2020-03-10,142666000,1
2020-03-11,112496000,0
2020-03-12,226924000,0
2020-03-13,176194000,1
2020-03-16,178346000,1
2020-03-17,218342000,1
2020-03-18,192904000,1
2020-03-19,207998000,1
2020-03-20,196358000,0
2020-03-23,156170000,1
2020-03-24,142942000,0
2020-03-25,129582000,0
2020-03-26,124426000,1
2020-03-27,107758000,0
2020-03-30,122522000,1
2020-03-31,102472000,0
2020-04-01,82438000,0
2020-04-02,86720000,1
2020-04-03,72198000,0
2020-04-06,115464000,1
2020-04-07,102280000,0
2020-04-08,79546000,1
2020-04-09,92930000,0
2020-04-13,134334000,1
2020-04-14,161744000,1
2020-04-15,137332000,1
2020-04-16,240764000,1
2020-04-17,158600000,1
2020-04-20,115414000,1
2020-04-21,149534000,0
2020-04-22,84244000,0
2020-04-23,101332000,0
2020-04-24,76498000,0
2020-04-27,112912000,0
2020-04-28,105388000,0
2020-04-29,91832000,1
2020-04-30,190692000,1
2020-05-01,195452000,0
2020-05-04,97318000,1
2020-05-05,64850000,0
2020-05-06,62356000,1
2020-05-07,67928000,0
2020-05-08,64132000,1
2020-05-11,65184000,1
2020-05-12,61498000,0
2020-05-13,95658000,1
2020-05-14,72962000,1
2020-05-15,84700000,1
2020-05-18,87144000,1
2020-05-19,86410000,1
2020-05-20,79962000,1
2020-05-21,102288000,0
2020-05-22,57342000,0
2020-05-26,71364000,0
2020-05-27,101138000,1
2020-05-28,63804000,1
2020-05-29,70198000,1
2020-06-01,58578000,1
2020-06-02,50598000,1
2020-06-03,53420000,1
2020-06-04,58974000,0
2020-06-05,66128000,1
2020-06-08,79414000,1
2020-06-09,103520000,1
2020-06-10,98920000,1
2020-06-11,116002000,0
2020-06-12,108722000,0
2020-06-15,77302000,1
2020-06-16,71712000,0
2020-06-17,59186000,0
2020-06-18,49756000,1
2020-06-19,115540000,0
2020-06-22,64176000,1
2020-06-23,84634000,1
2020-06-24,90532000,0
2020-06-25,59374000,1
2020-06-26,130016000,0
2020-06-29,84468000,0
2020-06-30,75394000,1
2020-07-01,127268000,1
2020-07-02,131868000,0
2020-07-06,137612000,1
2020-07-07,105150000,0
2020-07-08,100752000,1
2020-07-09,127774000,1
2020-07-10,109720000,1
2020-07-13,154408000,0
2020-07-14,144638000,0
2020-07-15,115778000,0
2020-07-16,127884000,1
2020-07-17,95226000,0
2020-07-20,151964000,1
2020-07-21,122426000,0
2020-07-22,82084000,0
2020-07-23,113138000,0
2020-07-24,112648000,1
2020-07-27,83410000,0
2020-07-28,62534000,0
2020-07-29,59482000,1
2020-07-30,122566000,1
2020-07-31,161710000,0
2020-08-03,101494000,0
2020-08-04,93886000,1
2020-08-05,78330000,1
2020-08-06,78812000,1
2020-08-07,78722000,0
2020-08-10,63346000,0
2020-08-11,74362000,0
2020-08-12,70442000,1
2020-08-13,62980000,0
2020-08-14,55034000,0
2020-08-17,53824000,1
2020-08-18,106920000,1
2020-08-19,83702000,0
2020-08-20,66650000,1
2020-08-21,71518000,0
2020-08-24,93326000,0
2020-08-25,79856000,1
2020-08-26,130174000,1
2020-08-27,85296000,0
2020-08-28,57940000,0
2020-08-31,83718000,1
2020-09-01,68644000,1
2020-09-02,78630000,0
2020-09-03,163222000,0
2020-09-04,175636000,0
2020-09-08,121884000,1
2020-09-09,103774000,1
2020-09-10,106614000,0
2020-09-11,101880000,0
2020-09-14,90592000,0
2020-09-15,80430000,1
2020-09-16,90244000,0
2020-09-17,128982000,0
2020-09-18,177852000,0
2020-09-21,122358000,1
2020-09-22,138976000,1
2020-09-23,113054000,0
2020-09-24,110588000,1
2020-09-25,92304000,1
2020-09-28,84484000,1
2020-09-29,69916000,0
2020-09-30,97922000,1
2020-10-01,99438000,1
2020-10-02,112262000,0
2020-10-05,75506000,1
2020-10-06,101738000,0
2020-10-07,86188000,1
2020-10-08,63482000,0
2020-10-09,98158000,1
2020-10-12,167284000,1
2020-10-13,114894000,0
2020-10-14,116254000,0
2020-10-15,104468000,1
2020-10-16,129488000,0
2020-10-19,104472000,0
2020-10-20,90194000,0
2020-10-21,91854000,0
2020-10-22,84240000,0
2020-10-23,69334000,1
2020-10-26,118024000,1
2020-10-27,85820000,1
2020-10-28,111766000,0
2020-10-29,131930000,1
2020-10-30,167728000,0
2020-11-02,145148000,0
2020-11-03,97958000,1
2020-11-04,136780000,1
2020-11-05,115786000,1
2020-11-06,92946000,1
2020-11-09,143808000,0
2020-11-10,131820000,0
2020-11-11,87338000,1
2020-11-12,87240000,0
2020-11-13,75124000,1
2020-11-16,76174000,1
2020-11-17,68894000,0
2020-11-18,58336000,0
2020-11-19,60206000,1
2020-11-20,67488000,0
2020-11-23,94178000,0
2020-11-24,72042000,1
2020-11-25,75808000,1
2020-11-27,47858000,0
2020-11-30,81278000,0
2020-12-01,90740000,1
2020-12-02,62586000,0
2020-12-03,57840000,0
2020-12-04,58272000,0
2020-12-07,55026000,1
2020-12-08,65726000,1
2020-12-09,82016000,0
2020-12-10,60604000,1
2020-12-11,61294000,1
2020-12-14,83116000,1
2020-12-15,66390000,0
2020-12-16,88552000,1
2020-12-17,69486000,0
2020-12-18,119914000,0
2020-12-21,76736000,1
2020-12-22,47388000,1
2020-12-23,41876000,0
2020-12-24,29038000,0
2020-12-28,113736000,1
2020-12-29,97458000,1
2020-12-30,64186000,0
2020-12-31,59144000,0
