Title,Link,Description,Date,Guid,length
Cedefop: The future of VET is now,http://skillspanorama.cedefop.europa.eu/en/news/cedefop-future-vet-now,"Cedefop: The future of VET is nowTuesday, October 31, 2017The 26th annual international conference of the European Forum for Vocational Education and Training , which was held in Thessaloniki from 25 to 28 October, focused on ‘aligning work and education to the future’.
 
 
 

The 26th annual international conference of the European Forum for Vocational Education and Training , which was held in Thessaloniki from 25 to 28 October, focused on ‘aligning work and education to the future’.
Over 220 training providers from across Europe and guests from Hong Kong, the USA and Canada took part in the conference.
In his keynote speech, Cedefop Director James Calleja said that businesses and the different stakeholders assist one another in defining short- and long-term skill needs locally, regionally and at European level. He stressed that the relationship between businesses and vocational education and training  providers is a necessity for both, as lifelong learning is part and parcel of the future of work and of VET.
Mr Calleja added that evidence from Cedefop research shows clearly an increasingly beneficial connection between work-based learning and employability for learners, workers and employers.
According to the Cedefop Director, we face at least four challenges either from the perspective of the training provider or from the side of the employer:
different stakeholders understand the concept of skill needs differently – businesses look for immediacy while social partners stress the need to develop talent gradually and permanently;
if stakeholders do not have a common understanding of skill needs, there is a marked coordination failure and stakeholders need to address it by seeking each other’s opinion and consensus;
involving regional and local authorities in skill needs assessment and anticipation heightens skills governance challenges in relation to bottom-up coordination and financial constraints;
one needs to improve feedback loops between businesses and stakeholders through efficient communication channels so that all speak the same language.
Speaking again at the end of the conference, Mr Calleja stated that the challenges of VET and employment are the same; advancements in technology, automation, demographic changes and new forms of learning give VET a new profile of excellence and inclusion, and work environments the necessity to create learning spaces for their employees throughout their careers.
The divide between learning and working is gradually closing down, he added, as no one can afford to stop learning. VET providers cannot deliver ready-made human capital and employers cannot afford to have low quality if they seek to be competitive. This dual role creates a new bond between the world of education and training and the world of employment, with employees benefitting from workplace and lifelong learning.
The future of VET is now","Tue, 31 Oct 2017 11:12:01 +0000",20763 at http://skillspanorama.cedefop.europa.eu,2896
European Commission on Employment: Report confirms effectiveness of EU Globalisation Fund,http://skillspanorama.cedefop.europa.eu/en/news/european-commission-employment-report-confirms-effectiveness-eu-globalisation-fund,"European Commission on Employment: Report confirms effectiveness of EU Globalisation FundTuesday, October 31, 2017The Commission has published its report on the performance of the European Globalisation Adjustment Fund  in 2015 and 2016.

The report reaffirms the role of the Fund as a flagship demonstration of European solidarity within the limits of its set-up and budgetary availabilities, having helped close to 19,500 workers to adjust to changing trade patterns and consequences of the economic and financial crisis in that period..
European Commissioner for Employment, Social Affairs, Skills and Labour Mobility Marianne Thyssen,said: ""Today's results demonstrate the added value of the Globalisation Adjustment Fund in helping redundant workers who have difficulties to find a new job. The assistance worth €70 million of the Fund has paid off: in 2015 and 2016, 9,072assisted workers were re-employed, despite the challenging labour market situation these people faced. This year's tenth anniversary of the Globalisation Adjustment Fund marks it as a proof of European solidarity to workers falling victim to mass lay-offs caused by globalisation or the crisis.""
9,072 workers, or close to half of the workers who participated in the Globalisation Adjustment Fund measures, had found new jobs or were self-employed after one year, at the end of the implementation period of the measures. An additional 645 people were at that time in education or training to increase their future employability.
EU countries also reported that the personal situation, employability and self-confidence of the workers concerned had visibly improved thanks to the Globalisation Adjustment Fund assistance and services. This was even the case for those who had not found new work immediately after the end of the measures.

These positive results are encouraging, especially given the difficult context in which they have been achieved. The labour market situation in some EU countries was particularly challenging in the period covered by the report. Mass lay-offs occurred in territories that were already suffering from above average unemployment rates. Many supported workers were low-skilled or had other disadvantages as jobseekers.
This proves once again that EU funding, such as the Globalisation Adjustment Fund, can make a difference, especially for the most vulnerable people in our societies.
Employment: Report confirms effectiveness of EU Globalisation Fund","Tue, 31 Oct 2017 11:12:01 +0000",20764 at http://skillspanorama.cedefop.europa.eu,2463
Eurostat: Euro area unemployment at 8.9%,http://skillspanorama.cedefop.europa.eu/en/news/eurostat-euro-area-unemployment-89,"Eurostat: Euro area unemployment at 8.9%Friday, November 3, 2017The euro area  seasonally-adjusted unemployment rate was 8.9% in September 2017, down from 9.0% in August 2017 and from 9.9% in September 2016. This is the lowest rate recorded in the euro area since January 2009. The EU28 unemployment rate was 7.5% in September 2017, stable compared to August 2017 and down from 8.4% in September 2016. This remains the lowest rate recorded in the EU28 since November 2008. These figures are published by Eurostat, the statistical office of the European Union.
Eurostat estimates that 18.446 million men and women in the EU28, of whom 14.513 million in the euro area, were unemployed in September 2017. Compared with August 2017, the number of persons unemployed decreased by 116 000 in the EU28 and by 96 000 in the euro area. Compared with September 2016, unemployment fell by 2.076 million in the EU28 and by 1.463 million in the euro area.
Member States
Among the Member States, the lowest unemployment rates in September 2017 were recorded in the Czech Republic , Germany  and Malta . The highest unemployment rates were observed in Greece  and Spain .
Compared with a year ago, the unemployment rate fell in all Member States for which data is comparable over time, except Finland where it remained stable and Lithuania where it increased . The largest decreases were registered in Cyprus , Spain  and Greece .
In September 2017, the unemployment rate in the United States was 4.2%, down from 4.4% in August 2017 and from 4.9% in September 2016.

Read more here: Euro area unemployment at 8.9%","Fri, 27 Oct 2017 11:24:43 +0000",20753 at http://skillspanorama.cedefop.europa.eu,1598
Seminar on The Future of Work: Automation and Employment,http://skillspanorama.cedefop.europa.eu/en/events/seminar-future-work-automation-and-employment,"Seminar on The Future of Work: Automation and Employment
The Social Situation Monitor  team is inviting policy-makers and researchers to discuss The Future of Work on 10 November, at The Square Meeting Centre, in Brussels.
The world of work is going through a revolution. But how will this revolution affect our economy and society? Some say that digitisation, artificial intelligence and robots will create more and better jobs, prosperity and more convenient services. Others argue that it will only benefit highly skilled workers, larger businesses and more affluent consumers. 
The SSM team invites policy-makers and researchers to join our panel, consider the evidence and discuss its implications.  
Panel:
Grace Lordan, London School of Economics and Political Science
Wolfgang Dauth, University of Würzburg
Marco Vivarelli, Università Cattolica del Sacro Cuore
Ulrich Zierahn, ZEW
Federico Biagi, JRC
This event has limited capacity. To request a ticket, please contact a.vaganay@lse.ac.uk.
Date:&nbsp;10/11/2017Location:&nbsp;The Square MeetingCountry:&nbsp;Belgium
","Wed, 25 Oct 2017 15:35:19 +0000",20743 at http://skillspanorama.cedefop.europa.eu,1075
Skillsnet e-bulletin: October 2017,http://skillspanorama.cedefop.europa.eu/en/news/skillsnet-e-bulletin-october-2017,"Skillsnet e-bulletin: October 2017Wednesday, October 25, 2017The SKILLSNET e-bulletin October 2017 Issue has just been send to skillsnet members and published here in a pdf format.

The highlight of the October 2017 issue of the Skillsnet e-bulletin refers to the new blog article of Konstantinos Pouliakas titled ""Making labour market and skills intelligence policy relevant: How Cedefop supports countries"" which is published on the Skills Panorama.
In the challenging economic climate that followed the global financial crisis, the objective of strengthening links between education and training and the labour market became an increasingly important policy priority. Developing tools and systems to promote better anticipation and matching of skills to labour market needs is identified as a core part of this strategy and is also integral to the European Commission’s New Skills Agenda for Europe. Continue reading here.
In order to receive each month, the SKILLSNET e-bulletin in your mailbox subscribe to the SKILLSNET e-bulletin here.
Download the Skillsnet e-bulletin: October 2017 here","Wed, 25 Oct 2017 14:46:14 +0000",20742 at http://skillspanorama.cedefop.europa.eu,1095
Eurostat,http://skillspanorama.cedefop.europa.eu/en/useful_resources/eurostat,Eurostat2017Eurostat,"Wed, 25 Oct 2017 14:45:17 +0000",20741 at http://skillspanorama.cedefop.europa.eu,20
The World Bank,http://skillspanorama.cedefop.europa.eu/en/useful_resources/world-bank,The World Bank2017WB,"Wed, 25 Oct 2017 14:44:09 +0000",20740 at http://skillspanorama.cedefop.europa.eu,20
Organisation for Economic Co-operation and Development ,http://skillspanorama.cedefop.europa.eu/en/useful_resources/organisation-economic-co-operation-and-development,Organisation for Economic Co-operation and Development 2017OECD,"Wed, 25 Oct 2017 14:43:20 +0000",20739 at http://skillspanorama.cedefop.europa.eu,63
"European skills/competences, qualifications and occupations - ESCO",http://skillspanorama.cedefop.europa.eu/en/useful_resources/european-skillscompetences-qualifications-and-occupations-esco,"European skills/competences, qualifications and occupations - ESCO2017ESCO","Wed, 25 Oct 2017 14:42:29 +0000",20738 at http://skillspanorama.cedefop.europa.eu,74
"European Commission - Employment, Social Affairs & Inclusion",http://skillspanorama.cedefop.europa.eu/en/useful_resources/european-commission-employment-social-affairs-inclusion,"European Commission - Employment, Social Affairs &amp; Inclusion2017European Commission - Employment, Social Affairs &amp; Inclusion","Wed, 25 Oct 2017 14:41:44 +0000",20737 at http://skillspanorama.cedefop.europa.eu,132
