Date,Volume,sign
2020-07-01,3684700,0
2020-07-02,4541000,0
2020-07-06,4810200,0
2020-07-07,3773500,0
2020-07-08,6168100,0
2020-07-09,4136600,0
2020-07-10,3519700,0
2020-07-13,3254000,0
2020-07-14,3731200,0
2020-07-15,3346200,0
2020-07-16,2670500,0
2020-07-17,2854300,0
2020-07-20,2315300,0
2020-07-21,2654800,0
2020-07-22,3284600,0
2020-07-23,3619600,0
2020-07-24,2420700,0
2020-07-27,2992000,0
2020-07-28,3262900,0
2020-07-29,3848900,0
2020-07-30,3823800,0
2020-07-31,5841300,0
2020-08-03,5068600,0
2020-08-04,2890600,0
2020-08-05,2673900,0
2020-08-06,3423300,0
2020-08-07,4322200,0
2020-08-10,3810500,0
2020-08-11,6771600,0
2020-08-12,4418200,0
2020-08-13,2615200,0
2020-08-14,1900000,0
2020-08-17,2297200,0
2020-08-18,2144900,0
2020-08-19,1954100,0
2020-08-20,2808000,0
2020-08-21,2742000,0
2020-08-24,4130600,0
2020-08-25,3699300,0
2020-08-26,2644100,0
2020-08-27,2418500,0
2020-08-28,2177600,0
2020-08-31,2542800,0
2020-09-01,3354500,0
2020-09-02,2818000,0
2020-09-03,4469800,0
2020-09-04,3747700,0
2020-09-08,3358800,0
2020-09-09,3462000,0
2020-09-10,2903000,0
2020-09-11,2486500,0
2020-09-14,2286600,0
2020-09-15,2528700,0
2020-09-16,2409200,0
2020-09-17,2274300,0
2020-09-18,4128100,0
2020-09-21,6124500,0
2020-09-22,4592200,0
2020-09-23,3992100,0
2020-09-24,3656000,0
2020-09-25,3674000,0
2020-09-28,6159800,0
2020-09-29,6594100,0
2020-09-30,4283300,0
2020-10-01,2858300,0
2020-10-02,4990800,0
2020-10-05,2690800,0
2020-10-06,4144900,0
2020-10-07,2584500,0
2020-10-08,2361800,0
2020-10-09,2152200,0
2020-10-12,2303200,0
2020-10-13,2888600,0
2020-10-14,2996600,0
2020-10-15,2195200,0
2020-10-16,1808600,0
2020-10-19,2858400,0
2020-10-20,2119800,0
2020-10-21,2030100,0
2020-10-22,2647700,0
2020-10-23,5142400,0
2020-10-26,5468500,0
2020-10-27,4722700,0
2020-10-28,3861600,0
2020-10-29,3685500,0
2020-10-30,3048000,0
2020-11-02,2516000,0
2020-11-03,6205600,0
2020-11-04,4185400,0
2020-11-05,2780400,0
2020-11-06,2312100,0
2020-11-09,7283900,0
2020-11-10,4017100,0
2020-11-11,5875600,0
2020-11-12,3298700,0
2020-11-13,2703800,0
2020-11-16,2717000,0
2020-11-17,2804700,0
2020-11-18,2212800,0
2020-11-19,2017100,0
2020-11-20,1933100,0
2020-11-23,2687600,0
2020-11-24,5645200,0
2020-11-25,2635700,0
2020-11-27,2204100,0
2020-11-30,3536400,0
2020-12-01,3364200,0
2020-12-02,3005600,0
2020-12-03,2750700,0
2020-12-04,2614100,0
2020-12-07,3040600,0
2020-12-08,2883600,0
2020-12-09,2448100,0
2020-12-10,3266600,0
2020-12-11,1852400,0
2020-12-14,2319900,0
2020-12-15,2977200,0
2020-12-16,1777200,0
2020-12-17,1688000,0
2020-12-18,2589600,0
2020-12-21,3313800,0
2020-12-22,1909900,0
2020-12-23,2789100,0
2020-12-24,536500,0
2020-12-28,2376900,0
2020-12-29,1646400,0
2020-12-30,1698600,0
2020-12-31,1314500,0
2021-01-04,2713300,0
2021-01-05,2697300,0
2021-01-06,7157300,0
2021-01-07,3532400,0
2021-01-08,2092000,0
2021-01-11,1661000,0
2021-01-12,1565100,0
2021-01-13,2211600,0
2021-01-14,2371000,0
2021-01-15,1907900,0
2021-01-19,1935000,0
2021-01-20,1193100,0
2021-01-21,2084400,0
2021-01-22,1340300,0
2021-01-25,2032200,0
2021-01-26,1751900,0
2021-01-27,1926600,0
2021-01-28,2074600,0
2021-01-29,2470200,0
2021-02-01,1203200,0
2021-02-02,1515900,0
2021-02-03,1646900,0
2021-02-04,2143600,0
2021-02-05,1587800,0
2021-02-08,2107100,0
2021-02-09,2330600,0
2021-02-10,1852100,0
2021-02-11,1054200,0
2021-02-12,1301300,0
2021-02-16,2646300,0
2021-02-17,1871200,0
2021-02-18,2195000,0
2021-02-19,1548300,0
2021-02-22,2766000,0
2021-02-23,2716100,0
2021-02-24,2489500,0
2021-02-25,4418500,0
2021-02-26,3278800,0
2021-03-01,2239700,0
2021-03-02,1939300,0
2021-03-03,2048000,0
2021-03-04,2733800,0
2021-03-05,2556700,0
2021-03-08,2678000,0
2021-03-09,2107800,0
2021-03-10,1993900,0
2021-03-11,2304400,0
2021-03-12,2153300,0
2021-03-15,1760900,0
2021-03-16,1770400,0
2021-03-17,2479800,0
2021-03-18,3788400,0
2021-03-19,3088800,0
2021-03-22,1678700,0
2021-03-23,1591100,0
2021-03-24,2480700,0
2021-03-25,2237200,0
2021-03-26,1735600,0
2021-03-29,1473900,0
2021-03-30,1790300,0
2021-03-31,2120900,0
2021-04-01,2433900,0
2021-04-05,779300,0
2021-04-06,1689600,0
2021-04-07,2142200,0
2021-04-08,3561800,0
2021-04-09,1604900,0
2021-04-12,1081500,0
2021-04-13,1595200,0
2021-04-14,2002000,0
2021-04-15,1545500,0
2021-04-16,1595500,0
2021-04-19,1885600,0
2021-04-20,2014700,0
2021-04-21,1223200,0
2021-04-22,2035200,0
2021-04-23,1050300,0
2021-04-26,2258900,0
2021-04-27,2871000,0
2021-04-28,2403000,0
2021-04-29,2535700,0
2021-04-30,1464300,0
2021-05-03,3101900,0
2021-05-04,2142400,0
2021-05-05,1814800,0
2021-05-06,1471700,0
2021-05-07,1079300,0
2021-05-10,1498100,0
2021-05-11,2175800,0
2021-05-12,2816100,0
2021-05-13,2265800,0
2021-05-14,2284500,0
2021-05-17,1879900,0
2021-05-18,1196800,0
2021-05-19,1736000,0
2021-05-20,1103000,0
2021-05-21,996300,0
2021-05-24,1798600,0
2021-05-25,1554700,0
2021-05-26,1181300,0
