Date,Volume,sign
2020-07-01,32061200,0
2020-07-02,29315800,0
2020-07-06,31897600,0
2020-07-07,33600700,0
2020-07-08,33600000,0
2020-07-09,33121700,0
2020-07-10,26177600,0
2020-07-13,38135600,0
2020-07-14,37591800,0
2020-07-15,32179400,0
2020-07-16,29940700,0
2020-07-17,31635300,0
2020-07-20,36884800,1
2020-07-21,37990400,0
2020-07-22,49605700,0
2020-07-23,67457000,0
2020-07-24,39827000,0
2020-07-27,30160900,0
2020-07-28,23251400,0
2020-07-29,19632600,0
2020-07-30,25079600,0
2020-07-31,51044000,0
2020-08-03,78983000,1
2020-08-04,49280100,0
2020-08-05,28806400,0
2020-08-06,32656800,0
2020-08-07,27820400,0
2020-08-10,36716500,0
2020-08-11,36446500,0
2020-08-12,28013100,0
2020-08-13,22588900,0
2020-08-14,17958900,0
2020-08-17,20184800,0
2020-08-18,21336200,0
2020-08-19,27627600,0
2020-08-20,26981500,1
2020-08-21,36249300,0
2020-08-24,25460100,0
2020-08-25,23043700,0
2020-08-26,39600800,0
2020-08-27,57602200,0
2020-08-28,26292900,0
2020-08-31,28774200,0
2020-09-01,25725500,0
2020-09-02,34080800,0
2020-09-03,58400300,0
2020-09-04,59664100,0
2020-09-08,52924300,0
2020-09-09,45679000,1
2020-09-10,35461500,0
2020-09-11,33620100,0
2020-09-14,30375800,0
2020-09-15,21823900,0
2020-09-16,26328100,0
2020-09-17,34011300,0
2020-09-18,55225300,0
2020-09-21,39839700,1
2020-09-22,33517100,0
2020-09-23,30803800,0
2020-09-24,31202500,0
2020-09-25,29437300,1
2020-09-28,32004900,0
2020-09-29,24221900,0
2020-09-30,33829100,0
2020-10-01,27158400,0
2020-10-02,33154800,0
2020-10-05,21331600,0
2020-10-06,28554300,0
2020-10-07,25681100,0
2020-10-08,19925800,0
2020-10-09,26458000,1
2020-10-12,40461400,0
2020-10-13,28950800,0
2020-10-14,23421700,0
2020-10-15,22733100,0
2020-10-16,26057900,0
2020-10-19,27625800,0
2020-10-20,22753500,0
2020-10-21,22724900,0
2020-10-22,22351500,0
2020-10-23,18879600,0
2020-10-26,37111600,0
2020-10-27,36700300,0
2020-10-28,51195600,0
2020-10-29,31432600,0
2020-10-30,36953700,0
2020-11-02,30842200,0
2020-11-03,27512000,0
2020-11-04,42311800,0
2020-11-05,36080100,0
2020-11-06,25231900,0
2020-11-09,44395000,0
2020-11-10,44045100,0
2020-11-11,29440800,1
2020-11-12,21593900,0
2020-11-13,18621100,0
2020-11-16,24953300,0
2020-11-17,24154100,0
2020-11-18,28372800,0
2020-11-19,24792700,0
2020-11-20,22843100,0
2020-11-23,25683500,0
2020-11-24,33979700,1
2020-11-25,21012900,0
2020-11-27,14512200,0
2020-11-30,33064800,0
2020-12-01,30904500,0
2020-12-02,23724500,0
2020-12-03,25120900,0
2020-12-04,24666000,0
2020-12-07,24620000,0
2020-12-08,23284100,0
2020-12-09,32440600,0
2020-12-10,26733300,0
2020-12-11,30979400,1
2020-12-14,28798400,0
