Date,Volume,sign
2020-01-02,3458250000,1
2020-01-03,3461290000,1
2020-01-06,3674070000,1
2020-01-07,3420380000,0
2020-01-08,3720890000,1
2020-01-09,3638390000,1
2020-01-10,3212970000,0
2020-01-13,3456380000,1
2020-01-14,3665130000,0
2020-01-15,3716840000,1
2020-01-16,3535080000,1
2020-01-17,3698170000,1
2020-01-21,4105340000,0
2020-01-22,3619850000,0
2020-01-23,3764860000,1
2020-01-24,3707130000,0
2020-01-27,3823100000,0
2020-01-28,3526720000,1
2020-01-29,3584500000,0
2020-01-30,3787250000,1
2020-01-31,4527830000,0
2020-02-03,3757910000,1
2020-02-04,3995320000,1
2020-02-05,4117730000,1
2020-02-06,3868370000,1
2020-02-07,3730650000,0
2020-02-10,3450350000,1
2020-02-11,3760550000,0
2020-02-12,3926380000,1
2020-02-13,3498240000,1
2020-02-14,3398040000,1
2020-02-18,3746720000,1
2020-02-19,3600150000,1
2020-02-20,4007320000,0
2020-02-21,3899270000,0
2020-02-24,4842960000,0
2020-02-25,5591510000,0
2020-02-26,5478110000,0
2020-02-27,7058840000,0
2020-02-28,8563850000,1
2020-03-02,6376400000,1
2020-03-03,6355940000,0
2020-03-04,5035480000,1
2020-03-05,5575550000,0
2020-03-06,6552140000,1
2020-03-09,8423050000,0
2020-03-10,7635960000,1
2020-03-11,7374110000,0
2020-03-12,8829380000,0
2020-03-13,8258670000,1
2020-03-16,7781540000,0
2020-03-17,8358500000,1
2020-03-18,8755780000,0
2020-03-19,7946710000,1
2020-03-20,9044690000,0
2020-03-23,7402180000,0
2020-03-24,7547350000,1
2020-03-25,8285670000,1
2020-03-26,7753160000,1
2020-03-27,6194330000,0
2020-03-30,5746220000,1
2020-03-31,6568290000,0
2020-04-01,5947900000,0
2020-04-02,6454990000,1
2020-04-03,6087190000,0
2020-04-06,6391860000,1
2020-04-07,7040720000,0
2020-04-08,5856370000,1
2020-04-09,7880140000,1
2020-04-13,5274310000,0
2020-04-14,5567400000,1
2020-04-15,5203390000,0
2020-04-16,5179990000,1
2020-04-17,5792140000,1
2020-04-20,5220160000,0
2020-04-21,5075830000,0
2020-04-22,5049660000,1
2020-04-23,5756520000,0
2020-04-24,5374480000,1
2020-04-27,5194260000,1
2020-04-28,5672880000,0
2020-04-29,6620140000,1
2020-04-30,6523120000,0
2020-05-01,4753160000,0
2020-05-04,4723140000,1
2020-05-05,5129590000,0
2020-05-06,4861920000,0
2020-05-07,5164640000,1
2020-05-08,4857160000,1
2020-05-11,4807320000,1
2020-05-12,5107710000,0
2020-05-13,6143130000,0
2020-05-14,5641920000,1
2020-05-15,5477040000,1
2020-05-18,6364290000,1
2020-05-19,4969330000,0
2020-05-20,4992970000,1
2020-05-21,4966940000,0
2020-05-22,3952800000,1
2020-05-26,5837060000,0
2020-05-27,6371230000,1
2020-05-28,5402670000,0
2020-05-29,7275080000,1
2020-06-01,4673410000,1
2020-06-02,5187230000,1
2020-06-03,5989560000,1
2020-06-04,6428130000,1
2020-06-05,8617590000,1
2020-06-08,8437380000,1
2020-06-09,6382620000,0
2020-06-10,6570840000,0
2020-06-11,7018890000,0
2020-06-12,5832250000,0
2020-06-15,5740660000,1
2020-06-16,5829240000,0
2020-06-17,4549390000,0
2020-06-18,4429030000,1
2020-06-19,8327780000,0
2020-06-22,4665380000,1
2020-06-23,4704830000,0
2020-06-24,5587200000,0
2020-06-25,4815420000,1
2020-06-26,8098120000,0
2020-06-29,4462770000,1
2020-06-30,4696280000,1
2020-07-01,4443130000,1
2020-07-02,4190830000,0
2020-07-06,4736450000,1
2020-07-07,4563700000,0
2020-07-08,4927700000,1
2020-07-09,4829020000,0
2020-07-10,4515340000,1
2020-07-13,4890780000,0
2020-07-14,4476170000,1
2020-07-15,4669760000,1
2020-07-16,3961230000,1
2020-07-17,3993830000,1
2020-07-20,3971200000,1
2020-07-21,4547960000,0
2020-07-22,4255190000,1
2020-07-23,4290460000,0
2020-07-24,3894900000,0
2020-07-27,3963910000,1
2020-07-28,4027890000,0
2020-07-29,4676300000,1
2020-07-30,4254010000,1
2020-07-31,5117260000,1
2020-08-03,4643640000,1
2020-08-04,4621670000,1
2020-08-05,4732220000,1
2020-08-06,4267490000,1
2020-08-07,4104860000,1
2020-08-10,4318570000,1
2020-08-11,5087650000,0
2020-08-12,3768560000,1
2020-08-13,3648810000,1
2020-08-14,3193400000,1
2020-08-17,3671290000,1
2020-08-18,3881310000,1
2020-08-19,3884480000,0
2020-08-20,3642850000,1
2020-08-21,3705420000,1
2020-08-24,3728690000,1
2020-08-25,3619300000,1
2020-08-26,3754360000,1
2020-08-27,3929560000,0
2020-08-28,3855880000,1
2020-08-31,4342290000,0
2020-09-01,4083110000,1
2020-09-02,4285190000,1
2020-09-03,4898680000,0
2020-09-04,4431440000,0
2020-09-08,4665600000,0
2020-09-09,3920830000,1
2020-09-10,4192250000,0
2020-09-11,3704450000,0
2020-09-14,3832130000,1
2020-09-15,4051460000,0
2020-09-16,4710030000,0
2020-09-17,4371940000,1
2020-09-18,7068700000,0
2020-09-21,4828350000,0
2020-09-22,3963300000,1
2020-09-23,4364500000,0
2020-09-24,4599470000,1
2020-09-25,3792220000,1
2020-09-28,3946060000,1
2020-09-29,3651880000,0
2020-09-30,4722530000,1
2020-10-01,4070530000,0
2020-10-02,3961550000,1
2020-10-05,3686920000,1
2020-10-06,4443380000,0
2020-10-07,3807830000,1
2020-10-08,3856190000,1
2020-10-09,3939060000,1
2020-10-12,3428970000,1
2020-10-13,3605150000,0
2020-10-14,3840630000,0
2020-10-15,3717640000,1
2020-10-16,4675890000,0
2020-10-19,4086200000,0
2020-10-20,3901260000,1
2020-10-21,4097750000,0
2020-10-22,4163630000,1
2020-10-23,3646570000,1
2020-10-26,3988080000,0
2020-10-27,3946990000,0
2020-10-28,5129860000,0
2020-10-29,4903070000,1
2020-10-30,4840450000,0
2020-11-02,4310590000,1
2020-11-03,4220070000,1
2020-11-04,4783040000,1
2020-11-05,4841190000,1
2020-11-06,4833950000,1
2020-11-09,8556610000,0
2020-11-10,6024230000,1
2020-11-11,4609970000,1
2020-11-12,4890120000,0
2020-11-13,4709670000,1
2020-11-16,5281980000,1
2020-11-17,4799570000,0
2020-11-18,5274450000,0
2020-11-19,4347200000,1
2020-11-20,4218970000,0
2020-11-23,5036290000,1
2020-11-24,6267570000,1
2020-11-25,4902560000,0
2020-11-27,2778450000,0
2020-11-30,6291400000,0
2020-12-01,5403660000,1
2020-12-02,5029620000,1
2020-12-03,5091760000,0
2020-12-04,5086370000,1
2020-12-07,4788560000,0
2020-12-08,4549670000,1
2020-12-09,5209940000,0
2020-12-10,4618240000,1
2020-12-11,4367150000,1
2020-12-14,4594920000,0
2020-12-15,4360280000,1
2020-12-16,4056950000,1
2020-12-17,4184930000,1
2020-12-18,7068340000,0
2020-12-21,4732160000,1
2020-12-22,4023940000,0
2020-12-23,3772630000,0
2020-12-24,1885090000,1
2020-12-28,3527460000,1
2020-12-29,3387030000,0
2020-12-30,3145200000,0
2020-12-31,3172510000,1
