Date,Volume
2020-10-01,50741500
2020-10-02,71430000
2020-10-05,44722800
2020-10-06,49146300
2020-10-07,43127700
2020-10-08,40421100
2020-10-09,28925700
2020-10-12,38791100
2020-10-13,34463700
2020-10-14,47879700
2020-10-15,35672400
2020-10-16,32775900
2020-10-19,36287800
2020-10-20,31656300
2020-10-21,32370500
2020-10-22,39993200
2020-10-23,33717000
2020-10-26,28239200
2020-10-27,22686500
2020-10-28,25451400
2020-10-29,22655300
2020-10-30,42511300
2020-11-02,29021100
2020-11-03,34351700
2020-11-04,32143100
2020-11-05,28414500
2020-11-06,21706000
2020-11-09,34833000
2020-11-10,30284200
2020-11-11,17357700
2020-11-12,19855100
2020-11-13,19771100
2020-11-16,26838600
2020-11-17,61188300
2020-11-18,78044000
2020-11-19,62475300
2020-11-20,32911900
2020-11-23,50260300
2020-11-24,53648500
2020-11-25,48930200
2020-11-27,37561100
2020-11-30,63003100
2020-12-01,40103500
2020-12-02,47775700
2020-12-03,42552000
2020-12-04,29401300
2020-12-07,56309700
2020-12-08,64265000
2020-12-09,71291200
2020-12-10,67083200
2020-12-11,46475000
2020-12-14,52040600
2020-12-15,45071500
2020-12-16,42095800
2020-12-17,56270100
2020-12-18,222126200
2020-12-21,58045300
2020-12-22,51716000
2020-12-23,33173000
2020-12-24,22865600
2020-12-28,32278600
2020-12-29,22910800
2020-12-30,42846000
2020-12-31,49649900
2021-01-04,48638200
2021-01-05,32245200
2021-01-06,44700000
2021-01-07,51498900
2021-01-08,75055500
2021-01-11,59301600
2021-01-12,46270700
2021-01-13,33312500
2021-01-14,31266300
2021-01-15,38777600
2021-01-19,25367000
2021-01-20,25665900
2021-01-21,20521100
2021-01-22,20066500
2021-01-25,41173400
2021-01-26,23131600
2021-01-27,27334000
2021-01-28,26378000
2021-01-29,34990800
2021-02-01,25391400
2021-02-02,24346200
2021-02-03,18343500
2021-02-04,15812700
2021-02-05,18566600
2021-02-08,20161700
2021-02-09,15157700
2021-02-10,36216100
2021-02-11,21622800
2021-02-12,23768300
2021-02-16,19802300
2021-02-17,25996500
2021-02-18,17957100
2021-02-19,18958300
2021-02-22,37269700
2021-02-23,66606900
2021-02-24,36767000
2021-02-25,39023900
2021-02-26,41089200
2021-03-01,27136200
2021-03-02,23732200
2021-03-03,30208000
2021-03-04,65919500
2021-03-05,89396500
2021-03-08,51787000
2021-03-09,67523300
2021-03-10,60605700
2021-03-11,36253900
2021-03-12,33583800
2021-03-15,29335600
2021-03-16,32195700
2021-03-17,40372500
2021-03-18,33224800
2021-03-19,42894000
2021-03-22,39512200
2021-03-23,30491900
2021-03-24,33795200
2021-03-25,39224900
2021-03-26,33852800
2021-03-29,28637000
2021-03-30,39432400
2021-03-31,33337300
2021-04-01,35298400
2021-04-05,41842800
2021-04-06,28271800
2021-04-07,26309400
2021-04-08,23924300
2021-04-09,21437100
2021-04-12,29135700
2021-04-13,44652800
2021-04-14,49017400
2021-04-15,27848900
2021-04-16,27979500
2021-04-19,39686200
2021-04-20,35609000
2021-04-21,31215500
2021-04-22,35590300
2021-04-23,28370000
2021-04-26,31038500
2021-04-27,29437000
2021-04-28,22271000
2021-04-29,28845400
2021-04-30,40758700
2021-05-03,27043100
2021-05-04,29739300
2021-05-05,21901900
2021-05-06,27784600
2021-05-07,23469200
2021-05-10,31392400
2021-05-11,46503900
2021-05-12,33823600
2021-05-13,44184900
2021-05-14,33370900
2021-05-17,32390400
2021-05-18,36830600
2021-05-19,39578400
2021-05-20,30821100
2021-05-21,26030600
2021-05-24,34558100
2021-05-25,28005900
2021-05-26,28639300
2021-05-27,26370600
2021-05-28,22737000
2021-06-01,18084900
2021-06-02,23302800
2021-06-03,30111900
2021-06-04,24036900
2021-06-07,22543700
2021-06-08,26053400
2021-06-09,16584600
2021-06-10,23919600
2021-06-11,16205300
2021-06-14,20424000
2021-06-15,17764100
2021-06-16,22144100
2021-06-17,22701400
2021-06-18,24560900
2021-06-21,24812700
2021-06-22,19158900
2021-06-23,31099200
2021-06-24,45982400
2021-06-25,32496700
2021-06-28,21628200
2021-06-29,17381300
2021-06-30,18924900
2021-07-01,18634500
2021-07-02,27054500
2021-07-06,23284500
2021-07-07,18792000
2021-07-08,22773300
2021-07-09,18140500
2021-07-12,25927000
2021-07-13,20966100
2021-07-14,21641200
2021-07-15,20209600
2021-07-16,16371000
2021-07-19,21297100
2021-07-20,15487100
2021-07-21,13953300
2021-07-22,15105700
2021-07-23,14604900
2021-07-26,25336600
2021-07-27,32813300
2021-07-28,16006600
2021-07-29,30394600
2021-07-30,29656400
2021-08-02,33615800
2021-08-03,21620300
2021-08-04,17002600
2021-08-05,12919600
2021-08-06,15623000
2021-08-09,14715300
2021-08-10,13432300
2021-08-11,9800600
2021-08-12,17459100
2021-08-13,16731500
2021-08-16,22677400
2021-08-17,23721300
2021-08-18,20349400
2021-08-19,14313500
2021-08-20,14841900
2021-08-23,20264900
2021-08-24,13083100
2021-08-25,12645600
2021-08-26,13214300
2021-08-27,13833800
2021-08-30,18604200
2021-08-31,20855400
2021-09-01,13204300
2021-09-02,12777300
2021-09-03,15246100
2021-09-07,20039800
2021-09-08,18793000
2021-09-09,14077700
2021-09-10,15184200
2021-09-13,22952500
2021-09-14,18524900
2021-09-15,15357700
2021-09-16,13923400
2021-09-17,28204200
2021-09-20,24757700
2021-09-21,16330700
2021-09-22,15126300
2021-09-23,11947500
2021-09-24,21373000
2021-09-27,28070700
2021-09-28,25381400
2021-09-29,20942900
2021-09-30,17956000
2021-10-01,17031400
2021-10-04,30483300
2021-10-05,18432600
2021-10-06,14632800
2021-10-07,19195800
2021-10-08,16738600
2021-10-11,14200300
2021-10-12,22020000
2021-10-13,14120100
2021-10-14,12247200
2021-10-15,18924600
2021-10-18,24207200
2021-10-19,17381100
2021-10-20,14032100
2021-10-21,31481500
2021-10-22,22880800
2021-10-25,62852100
2021-10-26,62415000
2021-10-27,38526500
2021-10-28,27213200
2021-10-29,29918400
